date,gnn_monthly_ret,ew_monthly_ret,avg_contagion,max_contagion,w_Cash,w_Consumer,w_Energy,w_Finance,w_Healthcare,w_Tech
2020-01-01,0.013707522167514835,-0.015725898567915498,0.3849523067474365,0.518671989440918,0.0,0.64928,0.08335,0.06521,0.20215,0.0
2020-02-01,-0.09676820919685138,-0.1013854096517313,0.41763854026794434,0.5364997982978821,0.0,0.64863,0.07987,0.06532,0.20618000000000003,0.0
2020-03-01,-0.11739952788879676,-0.1648136410118145,0.4428686201572418,0.4955395758152008,0.0,0.65717,0.07127,0.056249999999999994,0.21534,0.0
2020-04-01,0.002333333333333333,0.18301572384658532,0.47982075810432434,0.5290124416351318,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0031746031746031737,0.08728302422356768,0.48761340975761414,0.5399766564369202,1.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0034920634920634908,0.01680455876465048,0.49777451157569885,0.555533766746521,1.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0033333333333333322,0.03680152085070623,0.4992539584636688,0.5637555122375488,1.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0034920634920634908,0.057968017231704805,0.4984463155269623,0.5601193904876709,1.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0033333333333333322,-0.05930514261337952,0.49633151292800903,0.5593351125717163,1.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0033333333333333322,-0.03567333113418788,0.49148857593536377,0.5460219383239746,1.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0033333333333333322,0.17066032708924062,0.5062255263328552,0.5571250915527344,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0033333333333333322,0.036976169429831916,0.5060601234436035,0.5719781517982483,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0031746031746031737,0.008867714828665234,0.49677714705467224,0.5855522155761719,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0030158730158730152,0.07859010578681748,0.4937441349029541,0.5733743906021118,1.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0036507936507936493,0.031971542616386524,0.48590153455734253,0.5775692462921143,1.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0031746031746031737,0.02238489234444048,0.47734206914901733,0.5510473847389221,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0033333333333333322,0.039609100110815504,0.48251891136169434,0.5508672595024109,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0034920634920634908,0.03966782318920316,0.47643253207206726,0.5326849222183228,1.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0031746031746031737,0.0008478106191241062,0.46383213996887207,0.5161314606666565,1.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0.0036507936507936493,0.020617174290352275,0.4625583589076996,0.5364245176315308,1.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0033333333333333322,0.0028993768547584953,0.4567098319530487,0.5456066727638245,1.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.0033333333333333322,0.07035876803432556,0.45014065504074097,0.5398666858673096,1.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,-0.01250239338789933,-0.029866326543334987,0.4462960362434387,0.5302284359931946,0.0,0.67769,0.01279,0.0,0.30952999999999997,0.0
2021-12-01,0.002333333333333333,0.05580426272730381,0.450802206993103,0.5354838967323303,1.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,-0.017504236736635426,0.01168588309915745,0.4428683817386627,0.5321671962738037,0.0,0.6706599999999999,0.01424,0.0,0.31511,0.0
2022-02-01,-0.020846207531301127,-0.038947154102687245,0.43149417638778687,0.5292372703552246,0.0,0.6673899999999999,0.01641,0.0,0.31621,0.0
2022-03-01,0.06981366244978646,0.0634926743793937,0.4409228265285492,0.5250635147094727,0.0,0.66793,0.01852,0.0,0.31355000000000005,0.0
2022-04-01,-0.00612045133449015,-0.06723122293640899,0.44053134322166443,0.5198990106582642,0.0,0.65822,0.02685,0.0,0.31492,0.0
2022-05-01,0.0024920634920634916,0.04239980362085856,0.45856335759162903,0.5258499383926392,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0033333333333333322,-0.07838242138716013,0.462848961353302,0.5233959555625916,1.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0031746031746031737,0.06591667143394161,0.45421624183654785,0.5123092532157898,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0036507936507936493,-0.027043992068997862,0.46388480067253113,0.525621235370636,1.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0031746031746031737,-0.08863619699887262,0.46555769443511963,0.5423970222473145,1.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0034920634920634908,0.12744116017187263,0.47882431745529175,0.526677131652832,1.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0033333333333333322,0.06752882224688946,0.48539042472839355,0.5465741753578186,1.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0031746031746031737,-0.04338140157547754,0.48590168356895447,0.5477303862571716,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0033333333333333322,0.059832379755605666,0.47928157448768616,0.544508695602417,1.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0030158730158730152,-0.03990954865484458,0.4828507602214813,0.5669980645179749,1.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0034920634920634908,0.029693037198123325,0.478814035654068,0.5612080097198486,1.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0031746031746031737,0.01519645413669199,0.46766549348831177,0.5644232034683228,1.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0034920634920634908,-0.005400452816018421,0.4653315246105194,0.5443719625473022,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0031746031746031737,0.04864968779004917,0.45935162901878357,0.5429982542991638,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0033333333333333322,0.048960546941722645,0.4510634243488312,0.5289378762245178,1.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0036507936507936493,-0.0007473413766999415,0.4578940272331238,0.5404355525970459,1.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,-0.03956576606045873,-0.03861511914916649,0.44371527433395386,0.5432248711585999,0.0,0.61358,0.03446,0.0,0.35197,0.0
2023-10-01,-0.01342498332990422,-0.01813200086480656,0.4447824954986572,0.5210185050964355,0.0,0.61213,0.03573,0.0,0.35214999999999996,0.0
2023-11-01,0.02429474706610006,0.07360781133565894,0.43705734610557556,0.5030901432037354,0.0,0.6091,0.03595,0.0,0.35496,0.0
2023-12-01,0.018315614132754898,0.037493340425561475,0.435904860496521,0.5056660175323486,0.0,0.60993,0.03588,0.0,0.35418,0.0
2024-01-01,0.039451636736292525,0.03244607208025386,0.43614262342453003,0.5116167068481445,0.0,0.6078699999999999,0.03655,0.0,0.35559,0.0
2024-02-01,0.01812479668459789,0.03768081639832911,0.4223654568195343,0.5269454717636108,0.0,0.60713,0.037,0.0,0.35588000000000003,0.0
2024-03-01,0.011934339310551361,0.03168573680308163,0.41803744435310364,0.5268499851226807,0.0,0.6076,0.03717,0.0,0.35520999999999997,0.0
2024-04-01,-0.022025454143194293,-0.05244304766645785,0.42055630683898926,0.5258951783180237,0.0,0.60795,0.03797,0.0,0.35409,0.0
2024-05-01,0.014016402816849377,0.026212075782428984,0.4210805594921112,0.5242732763290405,0.0,0.61119,0.03921,0.0,0.34961999999999993,0.0
2024-06-01,0.010076904294003673,0.021718099830641012,0.39619505405426025,0.5301691889762878,0.0,0.61151,0.03963,0.0,0.34888,0.0
2024-07-01,0.05069061714329542,0.013467677326103747,0.40507563948631287,0.5253350734710693,0.0,0.61103,0.04018,0.0,0.34878000000000003,0.0
2024-08-01,0.05234962491846173,0.033395176844964514,0.41233769059181213,0.5304449200630188,0.0,0.6136299999999999,0.04218,0.0,0.34419,0.0
2024-09-01,0.014342732967777357,0.004530803052141006,0.4025785028934479,0.5306967496871948,0.0,0.6127100000000001,0.0427,0.0,0.34458,0.0
2024-10-01,-0.02758659792713989,-0.00766883194499535,0.3982123136520386,0.5302321910858154,0.0,0.6124,0.04279,0.0,0.34481,0.0
2024-11-01,0.034246281370774005,0.05598635874155025,0.39237549901008606,0.5338175296783447,0.0,0.61056,0.04458,0.0,0.34486,0.0
