Date,AAPL,ABBV,ABT,ADBE,AMD,AMZN,AVGO,AXP,BAC,BLK,BMY,C,COP,COST,CRM,CSCO,CVX,DHR,EOG,GS,HAL,HD,INTC,JNJ,JPM,KO,LLY,MCD,MPC,MRK,MS,MSFT,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PSX,SBUX,SLB,SPGI,TMO,UNH,V,VLO,WFC,WMT,XOM
2015-01-05,-0.02817187120704978,-0.018819012695696857,0.00022278493456862059,-0.004976403085169556,-0.003745314673225475,-0.020517290123177045,-0.0159857883878205,-0.026446241105178014,-0.029050193483114883,-0.025873893768807887,-0.01562752506073206,-0.031514784507750915,-0.047591072487377595,-0.011369301431514267,-0.018062278066744653,-0.019920613708938495,-0.03997167865326101,-0.009916179795746771,-0.06027763793542995,-0.031222887220492712,-0.01975218675123036,-0.020980350381080592,-0.011276184157276825,-0.006984158488292702,-0.031044879718825302,0.0,-0.009848413309709092,-0.01104475226989976,-0.027826002269609296,0.01486285440195445,-0.03125850879368197,-0.009195822629002759,-0.0161004597683716,-0.016890325778665782,-0.014023475672867547,-0.037074189802463464,-0.007517911329209315,-0.005426113166979052,-0.004754367199102605,-0.06045084817535651,-0.01915531762055811,-0.027081082463293327,-0.017708516211033754,-0.013736951458371283,-0.016471197906295143,-0.02207397306911596,-0.04112054599419357,-0.02742251635996673,-0.0029101499551523746,-0.02736149380665709
2015-01-06,9.418683097739411e-05,-0.004949779309860514,-0.01135589989090946,-0.02014454723552117,-0.011278184369081234,-0.022833334564125174,-0.022743242625247073,-0.02131146825820962,-0.029919566292850086,-0.015539676009605263,-0.0017071916550356336,-0.03520446302309299,-0.041285994763020084,0.013214543272979551,-0.016675166200035174,-0.0003689933965370651,-0.00046253180915456493,-0.006834055926493665,-0.028495324957534374,-0.020229374452726212,-0.009816548634808853,-0.0030617476513362663,-0.018637206727290967,-0.004913726383663164,-0.025929509277907048,0.007593927540377354,0.005044880598641166,0.0018432069457889888,-0.009877766525958398,0.03928306249952396,-0.028799643006612974,-0.014677382829805241,-0.005882281852614302,-0.03031823321082716,-0.010323686174938174,-0.008498793260154458,-0.007574742990513972,0.008344249114620617,-0.004555017272066975,-0.027974313347601365,-0.008136922503456323,-0.01955621205554836,-0.014467425106962084,-0.009338572896899655,-0.00201792881681373,-0.006443772288714067,-0.012222920599377018,-0.02086440770483522,0.0077055765390248165,-0.005316093354272522
2015-01-07,0.014022295273458774,0.04041641070367641,0.00810800300520187,0.00822347711744098,-0.01901147853960916,0.010599740338593344,0.027012995685237184,0.02183966396215342,0.004744939077538923,0.02116318056269284,0.012996028128959392,0.009270073298040415,0.0066740232028652535,0.01741252664661963,-0.004720363017813978,0.009241845334199805,-0.0008330579168543961,0.0060507364551958265,-0.006294282566271292,0.014902970940794846,0.026872336975545252,0.03427430817497412,0.020975033520423958,0.022076145094968913,0.0015263115142845063,0.012482486160755313,-0.007027942665328912,0.01742408581188526,0.008275426467312386,0.02138634023324104,0.014277679141680544,0.012705163036922595,0.020656299383049692,-0.002605703022693251,0.00023171068524296956,0.00012988074788466974,0.02924031917862613,0.013685873335964827,0.0052457993430063965,0.004392641143190934,0.024611876319654558,-0.00012214189571169154,0.013282115938678452,0.029956846689943806,0.010209908039245486,0.01339819839737566,-0.007759769430089047,0.005951473054099932,0.026532648979547213,0.010132466561825426
2015-01-08,0.038422432608770096,0.010458654579739823,0.020553943528089036,0.025453488160008142,0.011627896231359847,0.0068360190164749035,0.0499742896043287,0.01417502865927922,0.020661601865115342,0.011679501620064814,0.02498299034233864,0.015048106691467611,0.024940602240492993,0.008592054508626878,0.029158641795805185,0.007692348565774276,0.02288309274933309,0.015448428300416817,0.03824109708939605,0.01596523934767724,0.021595391147525955,0.02212460525182247,0.018600647166280293,0.007862615732596057,0.02234646664303286,0.012095364290649835,0.02368925932894861,0.0037233052889149576,0.023498952088252034,0.020126350967138773,0.014889054558158588,0.029418173597454356,0.023084401248899544,0.037617551600167554,0.00602517485971088,0.008830256487780241,0.01817461104178042,0.020407959984261925,0.01143540329905024,0.03890813786299474,0.016136840368364158,0.012116284545143907,0.008968832191387444,0.010393399812959725,0.04773348704397362,0.013412904874311904,0.057281479795883605,0.022137079992307518,0.021106255373152694,0.016644892787953003
2015-01-09,0.0010723454961605317,-0.027354303916307887,-0.01050753880245292,-0.01481077699086708,0.007662919597304585,-0.011748610100441481,0.010695091666467649,-0.012666295781775805,-0.017929841285166392,-0.01185579590592134,-0.006587638897639692,-0.022333484580913443,-0.00015383029343274401,-0.015388780060954343,-0.0073392075886132835,0.010178040520186116,-0.01992586978016453,-0.006736076174209682,0.006675707584330892,-0.015346513124356198,-0.010196234708987562,-0.017148199022840926,0.0019079830310864132,-0.013628748107610722,-0.01738710371952845,-0.011031540598697376,-0.013263670966317753,-0.012187750072158998,-0.027902528148759487,-0.004614284492764242,-0.01627108721338244,-0.008405329039251397,-0.011024135819201364,0.00402816225859115,-0.00046012316199051106,-0.0019307007369683271,-0.006770363905394761,0.004615589858392388,-0.009330197964721676,-0.0229349254237613,-0.03273143863906647,-0.017896128071292594,-0.008547379462372273,-0.0039919199109172965,-0.009359628481268922,-0.014823482896118456,-0.027388826676679523,-0.016430030744662427,-0.012380240477497084,-0.00140974478862399
2015-01-12,-0.02464075853046266,-0.0003041217727198786,0.008407004725303091,-0.010022183017969422,0.0,-0.018590241168821242,-0.01658715941563149,-0.010174734342057623,-0.017668040465987467,-0.006585859144694894,0.030835530764558694,-0.007876998778508004,-0.028496614361428585,-0.005582085346911736,-0.0073932701402371626,0.009355827583350296,-0.021532120244669883,-0.012393131431020499,-0.033729389935727605,-0.012169739619467879,-0.031659109162182064,-0.004480190900155945,-0.004352499506988572,-0.0034307771349680882,-0.008594366709011036,-0.009063406716398159,-0.00729305746777964,-0.0021454421465487705,-0.03469313514577854,-0.004155506691997712,-0.013828677340329776,-0.012502682657160813,-0.0013541932859263417,-0.01253748057097126,-0.002765963889301948,-0.033402415706963895,-0.004131955679469113,0.0036748392289467358,-0.003656784077950448,-0.04560992032126354,0.005514633889801335,-0.0390298325921653,-0.014252833990654135,-0.00963374475429446,-0.01128054358704167,-0.001957685186385061,-0.02631060266125418,-0.011959131236744858,0.00749883706538812,-0.019218690612110456
2015-01-13,0.00887901157345361,-0.02880362930602587,-0.016100707952780846,-0.00745228329897496,0.011406832731696515,0.0114272047823194,-0.005622270431060561,-0.003016728695372617,-0.013788760311724935,0.003026415823707662,0.015117665685397519,-0.007145851620389276,-0.009988682070292465,-0.010033141417100322,0.004157200831963248,0.0017825317064248392,-0.01586733906332838,-0.001420668622948762,0.006508130957206371,-0.0007567703624218325,-0.0064867124304121004,-0.006607936487990074,-0.0027320427891887045,0.0017212438518954265,0.000169964110515064,-0.00023438007807574657,-0.0005761119340055298,-0.00193525769042735,-0.0533833751080699,-0.0017659007272068372,-0.009348275041181187,-0.005149741471132563,-0.008867189940023779,-0.0015235315616966005,-0.007857521397281353,0.00026693793074228367,-0.000725578964876572,-0.010070092409437237,0.004225857090367047,-0.04265266022038139,0.00797707557000793,-0.00345962862434801,0.0598176145932221,-0.0012450647955363214,0.005070577280375632,0.0029228438099808685,-0.029976408742029448,-0.0038424353328101457,-0.007887106608699956,-0.0036528968663073202
2015-01-14,-0.003810779683693366,0.004890521132259185,-0.007397324261047111,-0.008499766330190783,-0.011278184369081234,-0.00498748937494764,0.00789591163624026,-0.024207457058195714,-0.024923918996118455,-0.006408069296172658,-0.0026936809469906287,-0.019392206281003244,0.002882817390315928,-0.01261612064045936,-0.012420170497908556,-0.006405906102220915,-0.002879067155681536,-0.015767775299353026,0.033548664535685724,-0.025415026722459322,0.0013058129189758017,-0.010508455558118746,-0.0041098358238385035,-0.007254886429688967,-0.03450052832258166,-0.0016420650118027513,0.005477025255605339,-0.013896331088375513,-0.039945463686302585,0.007235891465547706,-0.02275838545808795,-0.008628235952088503,-0.013682737334089312,0.004069203017631695,0.0030278153055800505,0.006802919125372453,0.0033209934654969686,0.0012330463763574606,-0.003433178839897022,-0.033820879713220564,-0.005564530091926034,0.007842865234342966,-0.021894460555400563,-0.01667457017155738,0.0025224091289763884,-0.020016784200919013,-0.023721664397330366,-0.011571668497933452,-0.030232065974312716,-0.0028891445939719373
2015-01-15,-0.027140183341447854,-0.01271598554018516,-0.007452666177273581,0.004286370351685775,-0.04182514400300241,-0.02155010661563239,-0.020020994094095523,-0.013666822403385015,-0.052369122261980205,-0.00954495800366395,-0.020969216540921654,-0.037105039387832606,-0.019323572139905987,0.0,-0.03737990509373723,-0.01826613841312652,-0.011838144493670266,-0.011924661306808026,-0.013791200464522868,-0.009654045736917083,-0.026342811134720145,-0.015880508561166073,-0.004401592312386016,-0.014518996108851434,-0.03203664439776299,-0.004229580246976616,-0.00028685265785477476,-0.0017480884214947645,-0.010047933055341463,-0.012132762549443066,-0.01789276183901134,-0.010443976846672642,-0.009604410292645027,-0.007092182497264732,-0.009986058941653941,0.006756810039419969,0.0,-0.0024629539452947213,-0.001444249884236637,-0.005554024800187629,-0.010444846573578803,-0.022452042497539626,-0.0068614028322495635,-0.01640262430476902,0.010935840359578952,-0.009508583524507896,-0.017610548150515104,-0.010341202508299507,0.008890359377754287,-0.008691581073098087
2015-01-16,-0.007770384085140525,0.02623628046020654,0.012286322946039041,0.020486590164322305,-0.051587252780272874,0.01320786597364454,0.024673853620794883,0.0018626285391427633,0.011842315815017601,0.01641139113499457,0.011034054650874259,0.008045974745476858,0.027194861372652257,0.0029425532973237356,0.027762585351604363,0.009850303494486568,0.023862974266269932,0.006217438611566095,0.043684589527127615,-0.007059334336633083,0.04821879844373922,0.030789150539864085,0.007184183708692338,0.015122997215161194,0.017094072341202082,0.0035391297635176677,0.013478450575268086,0.0012037968233684637,0.009238808338820403,0.01858403366579431,0.008964376263269624,0.01671051938413326,0.0019395482535964348,0.018367277794711034,0.020643173478318788,0.027240174833344177,0.006413581649638456,0.012345685308440713,0.015468140898320604,0.02944673008035359,0.01294295486937247,0.061333892743977714,0.028089367700070422,0.009345158902749562,0.012540723061929882,0.007189928177211646,0.030179363700870487,0.01813841113179726,-0.0069809604126862546,0.024280770356550185
