Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2018-01-01,379.97991943359375,1072.1768798828125,562.4500732421875,2601.6552734375,515.4166870117188,168.0667724609375,453.57305908203125,2096.23193359375,571.3703002929688,131.34979248046875,1039.067138671875,455.4854431152344,340.8336181640625,432.68902587890625,257.2323303222656,1184.235107421875,298.0550842285156,1547.809814453125,406.448974609375,178.77496337890625,242.62123107910156,198.9491424560547,692.00927734375,8962.4931640625,354.18359375,106.09725952148438,120.28315734863281,73.26819610595703,400.01531982421875,278.3489990234375,531.6732177734375,54.164398193359375,1069.2730712890625,380.7503967285156,828.7692260742188,4106.4296875,108.32608795166016
2018-01-02,377.8406677246094,1071.3331298828125,556.4824829101562,2606.00537109375,508.3658752441406,167.96937561035156,443.8211364746094,2059.86572265625,567.9130859375,133.02464294433594,1021.9078979492188,456.4422912597656,346.302734375,436.853759765625,257.94384765625,1179.03857421875,297.4787292480469,1566.96875,404.93487548828125,177.7185516357422,241.48023986816406,199.59573364257812,699.6760864257812,8871.6318359375,354.19940185546875,107.50947570800781,123.09712982177734,73.46949005126953,400.630859375,274.8594665527344,529.9135131835938,54.69689178466797,1063.453125,388.9617614746094,821.672119140625,4102.8115234375,109.06183624267578
2018-01-03,387.5861511230469,1070.5361328125,557.4274291992188,2563.531005859375,508.2015075683594,167.05874633789062,445.2388610839844,2070.882080078125,566.9786987304688,133.9113006591797,1039.398193359375,443.14227294921875,348.0481872558594,432.25738525390625,262.30780029296875,1189.3876953125,302.5695495605469,1553.91015625,401.6315002441406,177.9911651611328,245.26834106445312,198.97897338867188,701.5347290039062,8743.998046875,354.04400634765625,106.39773559570312,120.97099304199219,73.79885864257812,402.23577880859375,274.4969177246094,527.0424194335938,55.120628356933594,1066.4642333984375,393.12420654296875,832.5122680664062,4150.716796875,106.06751251220703
2018-01-04,389.6778564453125,1098.8023681640625,556.8803100585938,2582.039794921875,504.52410888671875,170.82785034179688,449.36297607421875,2046.7486572265625,576.2756958007812,136.8422088623047,1046.1580810546875,456.745361328125,346.41912841796875,433.94891357421875,265.4383239746094,1191.0614013671875,302.28143310546875,1569.4945068359375,399.3113708496094,178.26377868652344,252.98147583007812,199.0386505126953,702.5570068359375,8715.8193359375,354.4560546875,106.4277572631836,124.75428771972656,73.32307434082031,404.6541442871094,279.6179504394531,538.2955322265625,57.01811218261719,1073.9212646484375,395.4703063964844,868.0955810546875,4192.73486328125,106.64927673339844
2018-01-05,402.9412536621094,1111.177001953125,560.2122802734375,2594.22021484375,510.9669189453125,176.72015380859375,463.9694519042969,2054.579345703125,574.78076171875,137.3101806640625,1047.197998046875,468.6054382324219,349.11492919921875,434.81219482421875,262.212890625,1194.848876953125,300.5523986816406,1618.6783447265625,397.9742736816406,179.18389892578125,260.2381896972656,199.56588745117188,702.8822021484375,8760.017578125,353.8930358886719,106.66818237304688,124.09767150878906,73.65248107910156,405.95123291015625,277.6692199707031,536.0262451171875,57.80184555053711,1086.894775390625,397.6650390625,884.4288940429688,4241.26708984375,105.93061828613281
2018-01-08,402.0856018066406,1108.1302490234375,562.400390625,2590.97705078125,520.33984375,178.8968963623047,443.6492919921875,2076.54443359375,574.687255859375,141.59573364257812,1055.2811279296875,469.21173095703125,349.2895202636719,434.1123046875,261.9757080078125,1205.2864990234375,301.75311279296875,1639.3623046875,407.4320068359375,181.02413940429688,261.0597229003906,200.17271423339844,706.1812744140625,8774.0400390625,357.6947326660156,106.75830078125,123.44105529785156,73.39629364013672,408.2815856933594,277.1706848144531,547.927734375,57.655609130859375,1097.080078125,405.8763732910156,900.3732299804688,4269.73046875,106.47815704345703
2018-01-09,400.3742370605469,1118.4898681640625,562.251220703125,2565.468994140625,513.876953125,177.20709228515625,438.02154541015625,2053.628173828125,575.201171875,149.77281188964844,1029.849365234375,465.64990234375,346.71002197265625,434.83551025390625,257.56439208984375,1199.0328369140625,300.2643127441406,1644.2711181640625,409.516357421875,184.3978729248047,259.2341003417969,200.89892578125,708.551025390625,8713.3125,350.4022521972656,106.18738555908203,123.19094848632812,73.56097412109375,413.7338562011719,275.8111267089844,543.2042846679688,57.92185974121094,1094.8973388671875,404.0222473144531,907.0330200195312,4271.2255859375,108.54853057861328
2018-01-10,402.6085510253906,1103.8177490234375,559.7646484375,2536.915283203125,518.1773071289062,175.522216796875,435.1002197265625,2068.13916015625,579.0789184570312,151.86627197265625,1020.3952026367188,459.5872802734375,355.24346923828125,434.95220947265625,255.0029754638672,1202.9962158203125,299.6879577636719,1652.8973388671875,413.80279541015625,183.61407470703125,258.1387939453125,199.40673828125,706.134765625,8706.16015625,353.4381408691406,104.53480529785156,123.75373077392578,73.14010620117188,414.34942626953125,272.9107360839844,541.9075927734375,57.96309280395508,1134.3447265625,410.265869140625,892.109375,4248.4072265625,111.79949951171875
2018-01-11,404.5576477050781,1114.64599609375,555.736572265625,2525.842041015625,512.8804321289062,173.39419555664062,442.2745666503906,2088.84326171875,572.1644897460938,151.76779174804688,1041.4306640625,459.5020446777344,355.6506652832031,436.9004211425781,254.0068817138672,1214.3145751953125,297.2865905761719,1620.6800537109375,423.06396484375,183.88670349121094,257.91058349609375,202.470703125,712.4541625976562,8672.6875,354.68359375,104.26435852050781,123.75373077392578,72.40817260742188,412.3268127441406,273.90777587890625,544.5471801757812,57.82060623168945,1127.8377685546875,417.5312805175781,881.70654296875,4251.20556640625,109.88312530517578
2018-01-12,402.46588134765625,1115.3489990234375,552.106201171875,2511.565185546875,504.00091552734375,172.39590454101562,437.8067626953125,2082.981689453125,571.9308471679688,152.21116638183594,1034.1038818359375,463.7269287109375,359.14178466796875,435.2088928222656,255.05038452148438,1210.218505859375,305.1630859375,1625.3983154296875,424.1060485839844,182.3531951904297,261.78997802734375,203.60476684570312,713.2439575195312,8783.5107421875,350.8526916503906,103.66340637207031,125.53598022460938,71.85919189453125,417.2734375,273.9530944824219,540.3792724609375,57.768096923828125,1122.1185302734375,416.812255859375,878.6926879882812,4250.62646484375,109.0960464477539
